ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
16727	- m o - - n/d - - ɨi - -	MUTI	1933	13863	assustaramedrontar1	SCARE	Guaraní	0	mondɨi	mond/ⁿdɨi	24	Guarani_Paraguay	SCARE	24.M.C 24.U.V 24.T.C 24.I.V	AXBZ	4 7 1 7	m o n/d ɨi	mondɨi	2.0 1.5 1.75 0.8		
16728	j a - p eu s a r o t o	JAPESARUTU	1937	13905	escorpiao	SCORPION	Guaraní	0	japeusaroto	japeusaroto	24	Guarani_Paraguay	SCORPION	24.J.C 24.A.V 24.P.C 24.E.V 24.S.C 24.A.V 24.R.C 24.U.V 24.T.C 24.U.V	AXBYBYBYBZ	6 7 1 7 3 7 5 7 1 7	j a p eu s a r o t o	japeusaroto	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8		
16729	h e tʃ a -	HETA	1948	13945	ver1	SEE	Guaraní	0	hetʃa	hetʃa	24	Guarani_Paraguay	SEE	24.H.C 24.E.V 24.T.C 24.A.V	AXBZ	3 7 1 7	h e tʃ a	hetʃa	2.0 1.5 1.75 0.8		
16730	- a ʔ ɨ̃i - - - -	AHI	1955	14010	semente1	SEED	Guaraní	0	aʔɨ̃i	aʔɨ̃i	24	Guarani_Paraguay	SEED	24.A.V 24.H.C 24.I.V	XBZ	7 1 7	a ʔ ɨ̃i	aʔɨ̃i	1.5 1.75 0.8	Carib loan into Proto-Mawe-Awetí-Tupí-Guaraní	YES
16731	h e k a - - -	HEKA	1960	14070	buscarprocurar1	SEEK / LOOK FOR / SEARCH	Guaraní	0	heka	heka	24	Guarani_Paraguay	SEEK	24.H.C 24.E.V 24.K.C 24.A.V	AXBZ	3 7 1 7	h e k a	heka	2.0 1.5 1.75 0.8	Cariban loan in Proto-Mawé-Awetí-Tupí-Guaraní	YES
16732	m o + n o	MUNU	1964	522 124	enviar3	SEND	Guaraní	0	mono	mono	24	Guarani_Paraguay	CAUSATIVE GO	24.M.C 24.U.V 24.N.C 24.U.V	AXBZ	4 7 4 7	m o + n o	mono	2.0 1.5 1.75 0.8		
16733	- p a j - - é	PAJE	1968	14166	paje3	SHAMAN	Guaraní	0	pajé	pajé/e	24	Guarani_Paraguay	SHAMAN	24.P.C 24.A.V 24.J.C 24.E.V	AXBZ	1 7 6 7	p a j é	pajé	2.0 1.5 1.75 0.8		
16734	- h ai - - m e - ʔ e -	HAMEHE	1975	14198	afiar1	SHARPEN	Guaraní	0	haimeʔe	haimeʔe	24	Guarani_Paraguay	SHARPEN	24.H.C 24.A.V 24.M.C 24.E.V 24.H.C 24.E.V	AXBYBZ	3 7 4 7 1 7	h ai m e ʔ e	haimeʔe	2.0 1.5 1.75 1.3 1.75 0.8		
16735	- a - p e	APE	1985	14252	cascapele1	SHELL / BARK	Guaraní	1	ape	ape	24	Guarani_Paraguay	SKIN	24.A.V 24.P.C 24.E.V	XBZ	7 1 7	a p e	ape	1.5 1.75 0.8		
16736	- - m/b ɨ k ɨ	PIKI	1993	14313	curto	SHORT	Guaraní	0	mbɨkɨ	mb/ⁿbɨkɨ	24	Guarani_Paraguay	SHORT	24.P.C 24.I.V 24.K.C 24.I.V	AXBZ	1 7 1 7	m/b ɨ k ɨ	mbɨkɨ	2.0 1.5 1.75 0.8		
16737	- a s - - - - - ɨ	ASI	2001	14350	doente2	SICK / ILL	Guaraní	1	asɨ	asɨ	24	Guarani_Paraguay	SICK	24.A.V 24.S.C 24.I.V	XBZ	7 3 7	a s ɨ	asɨ	1.5 1.75 0.8		
16738	- p u r a h é j	PYRAHEJ	3196	1228	cantar	SING	Guaraní	0	purahéj	purahé/ej	24	Guarani_Paraguay	SING	24.P.C 24.Y.V 24.R.C 24.A.V 24.H.C 24.E.V 24.J.c	AXBYBYN	1 7 5 7 3 7 6	p u r a h é j	purahéj	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
16739	- t ɨ k e - -	TIKE	2019	14440	irma6	SISTER	Guaraní	0	tɨke	tɨke	24	Guarani_Paraguay	SISTER,	24.T.C 24.I.V 24.K.C 24.E.V	AXBZ	1 7 1 7	t ɨ k e	tɨke	2.0 1.5 1.75 0.8		
16740	- - p i - - r e	PIRE	2023	14547	pele1	SKIN	Guaraní	0	pire	pire	24	Guarani_Paraguay	SKIN	24.P.C 24.I.V 24.R.C 24.E.V	AXBZ	1 7 5 7	p i r e	pire	2.0 1.5 1.75 0.8		
16741	ɨ β a k a	IBAKA	2029	14609	ceu1	SKY	Guaraní	0	ɨβaka	ɨβaka	24	Guarani_Paraguay	HIGH	24.I.V 24.B.C 24.A.V 24.K.C 24.A.V	XBYBZ	7 3 7 1 7	ɨ β a k a	ɨβaka	1.5 1.75 1.3 1.75 0.8		
16742	- k - e - -	KE	2043	14724	dormir1	SLEEP	Guaraní	0	ke	ke	24	Guarani_Paraguay	SLEEP	24.K.C 24.E.V	AX	1 7	k e	ke	2.0 1.5		
16743	m i - ʃ i -	MISI	2054	14836	pequeno1	SMALL	Guaraní	0	miʃi	miʃi	24	Guarani_Paraguay	SMALL	24.M.C 24.I.V 24.S.C 24.I.V	AXBZ	4 7 3 7	m i ʃ i	miʃi	2.0 1.5 1.75 0.8	Carib Loan into Proto-Tupí-Guaraní	YES
16744	t a t a + t ĩ	TATATI	2061	848 18939	fumaca1	SMOKE (n)	Guaraní	0	tatatĩ	tatatĩ	24	Guarani_Paraguay	FIRE WHITE	24.T.C 24.A.V 24.T.C 24.A.V 24.T.C 24.I.V	AXBYBZ	1 7 1 7 1 7	t a t a + t ĩ	tatatĩ	2.0 1.5 1.75 1.3 1.75 0.8		
16745	j a t ɨ t - - a	JATITA	2071	14972	caracollesma7	SNAIL	Guaraní	0	jatɨta	jatɨta	24	Guarani_Paraguay	SNAIL	24.J.C 24.A.V 24.T.C 24.I.V 24.T.C 24.A.V	AXBYBZ	6 7 1 7 1 7	j a t ɨ t a	jatɨta	2.0 1.5 1.75 1.3 1.75 0.8		
16746	m oi	MUJ	2079	15011	cobra1	SNAKE	Guaraní	0	moj	moj	24	Guarani_Paraguay	SNAKE	24.M.C 24.U.V 24.J.c	AXN	4 7 6	m oi	moj	2.0 1.5 0.8		
16747	- k e - r a m u -	KERAMY	2085	15080	roncar2	SNORE	Guaraní	0	keramu	keramu	24	Guarani_Paraguay	SNORE	24.K.C 24.E.V 24.R.C 24.A.V 24.M.C 24.Y.V	AXBYBZ	1 7 5 7 4 7	k e r a m u	keramu	2.0 1.5 1.75 1.3 1.75 0.8		
16748	m e m/b + ɨ	MEPI	2099	15191 15	filhodemulher1	SON OF WOMAN	Guaraní	0	membɨ	memb/ⁿbɨ	24	Guarani_Paraguay	_HUSBAND SEED	24.M.C 24.E.V 24.P.C 24.I.V	AXBZ	4 7 1 7	m e m/b + ɨ	membɨ	2.0 1.5 1.75 0.8		
16749	m e m/b + ɨ	MEPI	2093	15125 868	filhodehomen1	SON OF MAN	Guaraní	1	membɨ	memb/ⁿbɨ	24	Guarani_Paraguay	_HUSBAND SEED	24.M.C 24.E.V 24.P.C 24.I.V	AXBZ	4 7 1 7	m e m/b + ɨ	membɨ	2.0 1.5 1.75 0.8		
16750	h ai - - - -	HA	2105	15260	azedoamargo1	SOUR / BITTER	Guaraní	0	hai	hai	24	Guarani_Paraguay	SOUR	24.H.C 24.A.V	AX	3 7	h ai	hai	2.0 1.5		
16751	- ɲ e ʔ ẽ -	NEHE	2112	15315	falar1	SPEAK	Guaraní	0	ɲeʔẽ	ɲeʔẽ	24	Guarani_Paraguay	SPEAK	24.N.C 24.E.V 24.H.C 24.E.V	AXBZ	4 7 1 7	ɲ e ʔ ẽ	ɲeʔẽ	2.0 1.5 1.75 0.8		
16752	ɲ a n/d u - -	NATY	2120	15370	aranha1	SPIDER	Guaraní	0	ɲandu	ɲand/ⁿdu	24	Guarani_Paraguay	SPIDER	24.N.C 24.A.V 24.T.C 24.Y.V	AXBZ	4 7 1 7	ɲ a n/d u	ɲandu	2.0 1.5 1.75 0.8		
16753	kʷ a t i + r a n a	KATIRANA	2143	143 2427	esquilocaxinguelequatimirimquatipuruserelepe	SQUIRREL	Guaraní	0	kʷatirana	kʷatirana	24	Guarani_Paraguay	AGOUTI FALSE	24.K.C 24.A.V 24.T.C 24.I.V 24.R.C 24.A.V 24.N.C 24.A.V	AXBYBYBZ	1 7 1 7 5 7 4 7	kʷ a t i + r a n a	kʷatirana	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
16754	ɲ e m/b o ʔ ɨ	NEPUHI	2150	15510	estardeempelevantar	STAND	Guaraní	0	ɲemboʔɨ	ɲemb/ⁿboʔɨ	24	Guarani_Paraguay	STAND	24.N.C 24.E.V 24.P.C 24.U.V 24.H.C 24.I.V	AXBYBZ	4 7 1 7 1 7	ɲ e m/b o ʔ ɨ	ɲemboʔɨ	2.0 1.5 1.75 1.3 1.75 0.8		
16755	j a s ɨ + r a t a	JASIRATA	2159	15562 15568	estrela1	STAR	Guaraní	0	jasɨrata	jasɨrata	24	Guarani_Paraguay	MOON FIRE	24.J.C 24.A.V 24.S.C 24.I.V 24.R.C 24.A.V 24.T.C 24.A.V	AXBYBYBZ	6 7 3 7 5 7 1 7	j a s ɨ + r a t a	jasɨrata	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
16756	j a v e v - - ɨi	JABEBI	2169	15640	arraia1	STINGRAY	Guaraní	0	javevɨi	javevɨi	24	Guarani_Paraguay	STINGRAY	24.J.C 24.A.V 24.B.C 24.E.V 24.B.C 24.I.V	AXBYBZ	6 7 3 7 3 7	j a v e v ɨi	javevɨi	2.0 1.5 1.75 1.3 1.75 0.8		
16757	- - p - - - - ɨ ʔ a	PIHA	2176	15696	estomago6	STOMACH	Guaraní	1	pɨʔa	pɨʔa	24	Guarani_Paraguay	STOMACH	24.P.C 24.I.V 24.H.C 24.A.V	AXBZ	1 7 1 7	p ɨ ʔ a	pɨʔa	2.0 1.5 1.75 0.8		
16758	- i t a - -	ITA	2185	15736	pedra1	STONE	Guaraní	0	ita	ita	24	Guarani_Paraguay	STONE	24.I.V 24.T.C 24.A.V	XBZ	7 1 7	i t a	ita	1.5 1.75 0.8		
16759	h a - - - - t ã -	HATA	2192	15805	forte1	STRONG	Guaraní	0	hatã	hatã	24	Guarani_Paraguay	STRONG	24.H.C 24.A.V 24.T.C 24.A.V	AXBZ	3 7 1 7	h a t ã	hatã	2.0 1.5 1.75 0.8		
16760	p ɨ t e - - - -	PITE	2199	15850	sugarchupar1	SUCK	Guaraní	0	pɨte	pɨte	24	Guarani_Paraguay	SUCK	24.P.C 24.I.V 24.T.C 24.E.V	AXBZ	1 7 1 7	p ɨ t e	pɨte	2.0 1.5 1.75 0.8		
16761	kʷ a r a h ɨ	KARAHI	2205	15890	sol1	SUN	Guaraní	0	kʷarahɨ	kʷarahɨ	24	Guarani_Paraguay	SUN	24.K.C 24.A.V 24.R.C 24.A.V 24.H.C 24.I.V	AXBYBZ	1 7 5 7 3 7	kʷ a r a h ɨ	kʷarahɨ	2.0 1.5 1.75 1.3 1.75 0.8		
16762	t ɨ p ei - - -	TIPE	2218	16005	varrer1	SWEEP	Guaraní	0	tɨpei	tɨpei	24	Guarani_Paraguay	SWEEP	24.T.C 24.I.V 24.P.C 24.E.V	AXBZ	1 7 1 7	t ɨ p ei	tɨpei	2.0 1.5 1.75 0.8		
16763	h e ʔ ẽ - - -	HEHE	2224	16049	doce1	SWEET	Guaraní	0	heʔẽ	heʔẽ	24	Guarani_Paraguay	SWEET	24.H.C 24.E.V 24.H.C 24.E.V	AXBZ	3 7 1 7	h e ʔ ẽ	heʔẽ	2.0 1.5 1.75 0.8		
16764	- j e t ɨ - - -	JETI	2232	16102	batatdoce1	SWEET POTATO	Guaraní	0	jetɨ	jetɨ	24	Guarani_Paraguay	SWEET.POTATO	24.J.C 24.E.V 24.T.C 24.I.V	AXBZ	6 7 1 7	j e t ɨ	jetɨ	2.0 1.5 1.75 0.8		
16765	- ɨ - t a - - - - - -	ITA	2237	16163	nadar3	SWIM	Guaraní	0	ɨta	ɨta	24	Guarani_Paraguay	SWIM	24.I.V 24.T.C 24.A.V	XBZ	7 1 7	ɨ t a	ɨta	1.5 1.75 0.8		
16766	- t u gʷ a j - -	TYKAJ	2246	16220	rabocauda1	TAIL	Guaraní	0	tugʷaj	tugʷaj	24	Guarani_Paraguay	TAIL	24.T.C 24.Y.V 24.K.C 24.A.V 24.J.c	AXBYN	1 7 1 7 6	t u gʷ a j	tugʷaj	2.0 1.5 1.75 1.3 0.8		
16767	- - m/b o r é β i	PUREBI	2252	16285	anta5	TAPIR	Guaraní	0	mboréβi	mb/ⁿboré/eβi	24	Guarani_Paraguay	TAPIR	24.P.C 24.U.V 24.R.C 24.E.V 24.B.C 24.I.V	AXBYBZ	1 7 5 7 3 7	m/b o r é β i	mboréβi	2.0 1.5 1.75 1.3 1.75 0.8		
16768	- - ei r - - a r a	ERARA	2259	16353	irara	TAYRA	Guaraní	0	eirara	eirara	24	Guarani_Paraguay	TAYRA	24.E.V 24.R.C 24.A.V 24.R.C 24.A.V	XBYBZ	7 5 7 5 7	ei r a r a	eirara	1.5 1.75 1.3 1.75 0.8		
16769	m o + ʔ e	MUHE	2268	522 13811	ensinar1	TEACH	Guaraní	0	moʔe	moʔe	24	Guarani_Paraguay	CAUSATIVE SAY	24.M.C 24.U.V 24.H.C 24.E.V	AXBZ	4 7 1 7	m o + ʔ e	moʔe	2.0 1.5 1.75 0.8		
16770	m o m e ʔ u	MUMEHY	2277	16434	contar1	TELL / NARRATE	Guaraní	0	momeʔu	momeʔu	24	Guarani_Paraguay	TELL	24.M.C 24.U.V 24.M.C 24.E.V 24.H.C 24.Y.V	AXBYBZ	4 7 4 7 1 7	m o m e ʔ u	momeʔu	2.0 1.5 1.75 1.3 1.75 0.8		
16771	j a p o - p a	JAPUPA	2288	16492	acabarterminar1	TERMINATE / FINISH	Guaraní	0	japopa	japopa	24	Guarani_Paraguay	TERMINATE	24.J.C 24.A.V 24.P.C 24.U.V 24.P.C 24.A.V	AXBYBZ	6 7 1 7 1 7	j a p o p a	japopa	2.0 1.5 1.75 1.3 1.75 0.8		
16772	k u - - p i ʔ i	KYPIHI	2294	16541	cupim1	TERMITE	Guaraní	0	kupiʔi	kupiʔi	24	Guarani_Paraguay	TERMITE	24.K.C 24.Y.V 24.P.C 24.I.V 24.H.C 24.I.V	AXBYBZ	1 7 1 7 1 7	k u p i ʔ i	kupiʔi	2.0 1.5 1.75 1.3 1.75 0.8		
16773	- - t a ʔ - ɨ̃i - - - - -	TAHI	2300	16594	testiculos1	TESTICLES	Guaraní	0	taʔɨ̃i	taʔɨ̃i	24	Guarani_Paraguay	TESTICLES	24.T.C 24.A.V 24.H.C 24.I.V	AXBZ	1 7 1 7	t a ʔ ɨ̃i	taʔɨ̃i	2.0 1.5 1.75 0.8		
16774	a m o v a	AMUBA	2311	16641	aqueleaquilo	THAT	Guaraní	0	amova	amova	24	Guarani_Paraguay	THAT	24.A.V 24.M.C 24.U.V 24.B.C 24.A.V	XBYBZ	7 4 7 3 7	a m o v a	amova	1.5 1.75 1.3 1.75 0.8		
16775	p o h - ɨi - -	PUHI	2317	16685	grosso2	THICK	Guaraní	1	pohɨi	pohɨi	24	Guarani_Paraguay	THICK	24.P.C 24.U.V 24.H.C 24.I.V	AXBZ	1 7 3 7	p o h ɨi	pohɨi	2.0 1.5 1.75 0.8		
16776	- - m a ʔ e - - - -	MAHE	2326	16725	coisa2	THING	Guaraní	0	maʔe	maʔe	24	Guarani_Paraguay	THING	24.M.C 24.A.V 24.H.C 24.E.V	AXBZ	4 7 1 7	m a ʔ e	maʔe	2.0 1.5 1.75 0.8		
16777	k o - - - -	KU	2334	16785	este	THIS	Guaraní	0	ko	ko	24	Guarani_Paraguay	THIS	24.K.C 24.U.V	AX	1 7	k o	ko (βa)	2.0 1.5		
16778	m oa - - p ɨ - - - -	MUPI	2349	16896	tres4	THREE	Guaraní	0	moapɨ	moapɨ	24	Guarani_Paraguay	THREE	24.M.C 24.U.V 24.P.C 24.I.V	AXBZ	4 7 1 7	m oa p ɨ	moapɨ	2.0 1.5 1.75 0.8		
16779	j u - -	JY	2342	16841	espinho1	THORN	Guaraní	1	ju	ju	24	Guarani_Paraguay	THORN	24.J.C 24.Y.V	AX	6 7	j u	ju	2.0 1.5		
16780	ʔ a r a s u n ũ -	HARASYNY	2371	505	trovao8	THUNDER	Guaraní	0	ʔarasunũ	ʔarasunũ	24	Guarani_Paraguay	THUNDER	24.H.C 24.A.V 24.R.C 24.A.V 24.S.C 24.Y.V 24.N.C 24.Y.V	AXBYBYBZ	1 7 5 7 3 7 4 7	ʔ a r a s u n ũ	ʔarasunũ	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
16781	- a h ɨ ʔ o	AHIHU	2363	16969	garganta6	THROAT	Guaraní	0	ahɨʔo	ahɨʔo	24	Guarani_Paraguay	THROAT	24.A.V 24.H.C 24.I.V 24.H.C 24.U.V	XBYBZ	7 3 7 1 7	a h ɨ ʔ o	ahɨʔo	1.5 1.75 1.3 1.75 0.8		
16782	j a t e v u - -	JATEBY	2379	17070	carrapato1	TICK	Guaraní	0	jatevu	jatevu	24	Guarani_Paraguay	TICK	24.J.C 24.A.V 24.T.C 24.E.V 24.B.C 24.Y.V	AXBYBZ	6 7 1 7 3 7	j a t e v u	jatevu	2.0 1.5 1.75 1.3 1.75 0.8		
16783	- a p ɨ t i	APITI	2384	17121	ataramarrar1	TIE	Guaraní	0	apɨti	apɨti	24	Guarani_Paraguay	TIE	24.A.V 24.P.C 24.I.V 24.T.C 24.I.V	XBYBZ	7 1 7 1 7	a p ɨ t i	apɨti	1.5 1.75 1.3 1.75 0.8		
16784	- - k a n e ʔ õ - -	KANEHU	2409	17266	cansado1	TIRED	Guaraní	0	kaneʔõ	kaneʔõ	24	Guarani_Paraguay	TIRED	24.K.C 24.A.V 24.N.C 24.E.V 24.H.C 24.U.V	AXBYBZ	1 7 4 7 1 7	k a n e ʔ õ	kaneʔõ	2.0 1.5 1.75 1.3 1.75 0.8		
16785	a t a + t ĩ	ATATI	2416	6003 17321	fumotabaco3	TOBACCO	Guaraní	0	atatĩ	atatĩ	24	Guarani_Paraguay	FIRE TOBACCO	24.A.V 24.T.C 24.A.V 24.T.C 24.I.V	XBYBZ	7 1 7 1 7	a t a + t ĩ	atatĩ	1.5 1.75 1.3 1.75 0.8		
16786	k o + á r a + p e	KU_ARAPE	2424	17387 17390 678	hoje	TODAY	Guaraní	0	ko árape	ko+á/arape	24	Guarani_Paraguay	THIS DAY LOCATIVE	24.K.C 24.U.V 24._._ 24.A.V 24.R.C 24.A.V 24.P.C 24.E.V	AX_XBYBZ	1 7 9 7 5 7 1 7	k o + á r a + p e	ko árape	2.0 1.5 0.0 1.5 1.75 1.3 1.75 0.8		
16787	- - k o ʔ - - - r õ - -	KUHRU	2433	17425	amanha1	TOMORROW	Guaraní	0	koʔrõ	koʔrõ	24	Guarani_Paraguay	TOMORROW	24.K.C 24.U.V 24.H.C 24.R.C 24.U.V	AXBCZ	1 7 1 5 7	k o ʔ r õ	koʔrõ	2.0 1.5 1.75 1.5 0.8		
16788	k ũ - - - -	KY	2439	17486	lingua1	TONGUE	Guaraní	0	kũ	kũ	24	Guarani_Paraguay	TONGUE	24.K.C 24.Y.V	AX	1 7	k ũ	kũ	2.0 1.5		
16789	ãi -	A	2447	150	dente1	TOOTH	Guaraní	0	ãi	ãi	24	Guarani_Paraguay	TOOTH	24.A.V	X	7	ãi	ãi	1.5		
16790	t u k ã - - -	TYKA	2451	17614	tucano1	TOUCAN	Guaraní	0	tukã	tukã	24	Guarani_Paraguay	TOUCAN	24.T.C 24.Y.V 24.K.C 24.A.V	AXBZ	1 7 1 7	t u k ã	tukã	2.0 1.5 1.75 0.8		
16791	t a r e ʔ - - ɨi	TAREHI	2456	17660	traira1	TRAHIRA FISH	Guaraní	0	tareʔɨi	tareʔɨi	24	Guarani_Paraguay	TRAHIRA	24.T.C 24.A.V 24.R.C 24.E.V 24.H.C 24.I.V	AXBYBZ	1 7 5 7 1 7	t a r e ʔ ɨi	tareʔɨi	2.0 1.5 1.75 1.3 1.75 0.8		
16792	- ɨ β ɨ r a -	IBIRA	2460	17697	arvore1	TREE	Guaraní	0	ɨβɨra	ɨβɨra	24	Guarani_Paraguay	TREE	24.I.V 24.B.C 24.I.V 24.R.C 24.A.V	XBYBZ	7 3 7 5 7	ɨ β ɨ r a	ɨβɨra	1.5 1.75 1.3 1.75 0.8		
16793	k a r - - u m e	KARYME	3972	2318	tartarugajabotijabuti1	TURTLE	Guaraní	0	karume	karume	24	Guarani_Paraguay	TURTLE	24.K.C 24.A.V 24.R.C 24.Y.V 24.M.C 24.E.V	AXBYBZ	1 7 5 7 4 7	k a r u m e	karume	2.0 1.5 1.75 1.3 1.75 0.8		
16794	- m o k õ j - -	MUKUJ	2483	17864	doisduas1	TWO	Guaraní	0	mokõj	mokõj	24	Guarani_Paraguay	TWO	24.M.C 24.U.V 24.K.C 24.U.V 24.J.c	AXBYN	4 7 1 7 6	m o k õ j	mokõj	2.0 1.5 1.75 1.3 0.8		
16795	β ai - -	BA	2495	17941	feio7	UGLY	Guaraní	0	βai	βai	24	Guarani_Paraguay	UGLY	24.B.C 24.A.V	AX	3 7	β ai	βai	2.0 1.5		
16796	t u - - - - - - v ɨ	TYBI	2502	17986	tiomaterno1	UNCLE (MoBr)	Guaraní	0	tuvɨ	tuvɨ	24	Guarani_Paraguay	UNCLE	24.T.C 24.Y.V 24.B.C 24.I.V	AXBZ	1 7 3 7	t u v ɨ	tuvɨ	2.0 1.5 1.75 0.8		
16797	j o r - - a - -	JURA	2514	18043	desatardesamarrarsoltar1	UNTIE	Guaraní	0	jora	jora	24	Guarani_Paraguay	UNTIE	24.J.C 24.U.V 24.R.C 24.A.V	AXBZ	6 7 5 7	j o r a	jora	2.0 1.5 1.75 0.8		
16798	kʷ a - - r u - - - -	KARY	2526	18089	urinar1	URINATE	Guaraní	0	kʷaru	kʷaru	24	Guarani_Paraguay	URINATE	24.K.C 24.A.V 24.R.C 24.Y.V	AXBZ	1 7 5 7	kʷ a r u	kʷaru	2.0 1.5 1.75 0.8		
16799	t á v a	TABA	2542	18182	aldeia1	VILLAGE	Guaraní	0	táva	tá/ava	24	Guarani_Paraguay	VILLAGE	24.T.C 24.A.V 24.B.C 24.A.V	AXBZ	1 7 3 7	t á v a	táva	2.0 1.5 1.75 0.8		
16800	gʷ e - - ʔ ẽ -	KEHE	2556	18227	vomitar1	VOMIT	Guaraní	0	gʷeʔẽ	gʷeʔẽ	24	Guarani_Paraguay	VOMIT	24.K.C 24.E.V 24.H.C 24.E.V	AXBZ	1 7 1 7	gʷ e ʔ ẽ	gʷeʔẽ	2.0 1.5 1.75 0.8		
16801	- ɨ r - - ɨ v - - - u	IRIBY	2564	18273	urubu1	VULTURE	Guaraní	0	ɨrɨvu	ɨrɨvu	24	Guarani_Paraguay	VULTURE	24.I.V 24.R.C 24.I.V 24.B.C 24.Y.V	XBYBZ	7 5 7 3 7	ɨ r ɨ v u	ɨrɨvu	1.5 1.75 1.3 1.75 0.8		
16802	- - - - gʷ a t a -	KATA	2574	18354	andarcaminhar1	WALK	Guaraní	0	gʷata	gʷata	24	Guarani_Paraguay	WALK	24.K.C 24.A.V 24.T.C 24.A.V	AXBZ	1 7 1 7	gʷ a t a	gʷata	2.0 1.5 1.75 0.8		
16803	- - p o t a - -	PUTA	2575	18419	querer1	WANT	Guaraní	0	pota	pota	24	Guarani_Paraguay	WANT	24.P.C 24.U.V 24.T.C 24.A.V	AXBZ	1 7 1 7	p o t a	pota	2.0 1.5 1.75 0.8		
16804	- - j o h e j -	JUHEJ	2586	18478	lavar3	WASH	Guaraní	0	johej	johej	24	Guarani_Paraguay	WASH	24.J.C 24.U.V 24.H.C 24.E.V 24.J.c	AXBYN	6 7 3 7 6	j o h e j	johej	2.0 1.5 1.75 1.3 0.8		
16805	k a v - - a	KABA	2590	18536	vespa1	WASP	Guaraní	0	kava	kava	24	Guarani_Paraguay	WASP	24.K.C 24.A.V 24.B.C 24.A.V	AXBZ	1 7 3 7	k a v a	kava	2.0 1.5 1.75 0.8		
16806	- ɨ - -	I	2593	18593	agua1	WATER	Guaraní	1	ɨ	ɨ	24	Guarani_Paraguay	LIQUID	24.I.V	X	7	ɨ	ɨ	1.5		
16807	- o r e - -	URE	2607	18687	nos1	WE (EXCL)	Guaraní	0	ore	ore	24	Guarani_Paraguay	WE	24.U.V 24.R.C 24.E.V	XBZ	7 5 7	o r e	ore	1.5 1.75 0.8		
16808	j a n e	JANE	2608	18690	nos1	WE (INCL)	Guaraní	0	jane	jane	24	Guarani_Paraguay	WE	24.J.C 24.A.V 24.N.C 24.E.V	AXBZ	6 7 4 7	j a n e	jane	2.0 1.5 1.75 0.8		
16809	a k ɨ̃ -	AKI	2624	18835	molhado1	WET	Guaraní	0	akɨ̃	akɨ̃	24	Guarani_Paraguay	WET	24.A.V 24.K.C 24.I.V	XBZ	7 1 7	a k ɨ̃	akɨ̃	1.5 1.75 0.8	Of Cariban origin	YES
16810	- - - - - m/b a ʔ e	PAHE	2632	18889	oque1	WHAT	Guaraní	0	mbaʔe	mb/ⁿbaʔe	24	Guarani_Paraguay	WHAT	24.P.C 24.A.V 24.H.C 24.E.V	AXBZ	1 7 1 7	m/b a ʔ e	mbaʔe	2.0 1.5 1.75 0.8		
16811	m o r o t - - ĩ	MURUTI	2640	18942	branco	WHITE	Guaraní	0	morotĩ	morotĩ	24	Guarani_Paraguay	WHITE	24.M.C 24.U.V 24.R.C 24.U.V 24.T.C 24.I.V	AXBYBZ	4 7 5 7 1 7	m o r o t ĩ	morotĩ	2.0 1.5 1.75 1.3 1.75 0.8		
16812	m a v - - a -	MABA	2649	19013	quem1	WHO	Guaraní	0	mava	mava	24	Guarani_Paraguay	WHO	24.M.C 24.A.V 24.B.C 24.A.V	AXBZ	4 7 3 7	m a v a	mava	2.0 1.5 1.75 0.8		
16813	e m/b i + r e k o	EPIREKU	2655	19059 2117	esposa1	WIFE	Guaraní	0	embireko	emb/ⁿbireko	24	Guarani_Paraguay	NOMINALIZER.pass BE	24.E.V 24.P.C 24.I.V 24.R.C 24.E.V 24.K.C 24.U.V	XBYBYBZ	7 1 7 5 7 1 7	e m/b i + r e k o	embireko	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
16814	- a gʷ a r a ʔ i -	AKARAHI	2670	19169	cachorrodomato	WILD DOG	Guaraní	0	agʷaraʔi	agʷaraʔi	24	Guarani_Paraguay	WILD	24.A.V 24.K.C 24.A.V 24.R.C 24.A.V 24.H.C 24.I.V	XBYBYBZ	7 1 7 5 7 1 7	a gʷ a r a ʔ i	agʷaraʔi	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
16815	- ɨ β ɨ t u - - - -	IBITY	2680	19205	vento1	WIND	Guaraní	0	ɨβɨtu	ɨβɨtu	24	Guarani_Paraguay	WIND	24.I.V 24.B.C 24.I.V 24.T.C 24.Y.V	XBYBZ	7 3 7 1 7	ɨ β ɨ t u	ɨβɨtu	1.5 1.75 1.3 1.75 0.8		
16816	p e - - p o - - -	PEPU	2687	19270	asa1	WING	Guaraní	0	pepo	pepo	24	Guarani_Paraguay	WING	24.P.C 24.E.V 24.P.C 24.U.V	AXBZ	1 7 1 7	p e p o	pepo / aiha	2.0 1.5 1.75 0.8		
